timestamp,coin,price
2025-10-14 02-28-27,bitcoin,115639
2025-10-14 02-28-27,ethereum,4266.53
2025-10-14 02-28-27,tether,1.001
2025-10-14 02-28-27,binancecoin,1286.96
2025-10-14 02-28-27,ripple,2.64
2025-10-14 02-28-27,solana,208.43
2025-10-14 02-28-27,usd-coin,0.999875
2025-10-14 02-28-27,staked-ether,4265.01
2025-10-14 02-28-27,dogecoin,0.217807
2025-10-14 02-28-27,tron,0.323831
2025-10-14 02-29-02,bitcoin,115639
2025-10-14 02-29-02,ethereum,4266.53
2025-10-14 02-29-02,tether,1.001
2025-10-14 02-29-02,binancecoin,1286.96
2025-10-14 02-29-02,ripple,2.64
2025-10-14 02-29-02,solana,208.43
2025-10-14 02-29-02,usd-coin,0.999875
2025-10-14 02-29-02,staked-ether,4265.01
2025-10-14 02-29-02,dogecoin,0.217807
2025-10-14 02-29-02,tron,0.323831
2025-10-14 02-29-17,bitcoin,115639
2025-10-14 02-29-17,ethereum,4266.53
2025-10-14 02-29-17,tether,1.001
2025-10-14 02-29-17,binancecoin,1286.96
2025-10-14 02-29-17,ripple,2.64
2025-10-14 02-29-17,solana,208.43
2025-10-14 02-29-17,usd-coin,0.999875
2025-10-14 02-29-17,staked-ether,4265.01
2025-10-14 02-29-17,dogecoin,0.217807
2025-10-14 02-29-17,tron,0.323831
2025-10-14 02-29-54,bitcoin,115719
2025-10-14 02-29-54,ethereum,4278.58
2025-10-14 02-29-54,tether,1.001
2025-10-14 02-29-54,binancecoin,1286.35
2025-10-14 02-29-54,ripple,2.64
2025-10-14 02-29-54,solana,208.56
2025-10-14 02-29-54,usd-coin,0.999859
2025-10-14 02-29-54,staked-ether,4268.67
2025-10-14 02-29-54,dogecoin,0.218039
2025-10-14 02-29-54,tron,0.323893
2025-10-14 02-30-17,bitcoin,115719
2025-10-14 02-30-17,ethereum,4278.58
2025-10-14 02-30-17,tether,1.001
2025-10-14 02-30-17,binancecoin,1286.35
2025-10-14 02-30-17,ripple,2.64
2025-10-14 02-30-17,solana,208.56
2025-10-14 02-30-17,usd-coin,0.999859
2025-10-14 02-30-17,staked-ether,4268.67
2025-10-14 02-30-17,dogecoin,0.218039
2025-10-14 02-30-17,tron,0.323893
2025-10-14 03-18-07,bitcoin,115734
2025-10-14 03-18-07,ethereum,4268.58
2025-10-14 03-18-07,tether,1.001
2025-10-14 03-18-07,binancecoin,1283.46
2025-10-14 03-18-07,ripple,2.62
2025-10-14 03-18-07,solana,208.29
2025-10-14 03-18-07,usd-coin,0.9999
2025-10-14 03-18-07,staked-ether,4268.84
2025-10-14 03-18-07,dogecoin,0.21641
2025-10-14 03-18-07,tron,0.323964
2025-10-14 03-18-41,bitcoin,115734
2025-10-14 03-18-41,ethereum,4268.58
2025-10-14 03-18-41,tether,1.001
2025-10-14 03-18-41,binancecoin,1283.46
2025-10-14 03-18-41,ripple,2.62
2025-10-14 03-18-41,solana,208.29
2025-10-14 03-18-41,usd-coin,0.9999
2025-10-14 03-18-41,staked-ether,4268.84
2025-10-14 03-18-41,dogecoin,0.21641
2025-10-14 03-18-41,tron,0.323964
